"orden","departamento","municipio","Fecha","a_o","mes","dia","1era Dosis","2da Dosis","Total aplicada","ASTRAZENECA","PFIZER","SINOVAC","ASTRAZENECA 1era Dosis","PFIZER  1era Dosis","SINOVAC 1era Dosis","ASTRAZENECA 2da Dosis","PFIZER 2da Dosis","SINOVAC 2da Dosis","janssen","moderna","moderna_1era_dosis","moderna_2da_dosis","astrazeneca_refuerzo","pfizer_refuerzo","sinovac_refuerzo","janssen_refuerzo","moderna_refuerzo"
"188","SANTANDER","BUCARAMANGA","2021-08-24T00:00:00.000","agosto","2021","martes","4034","1718","5752","51","1389","1602","7","1247","92","44","142","1510","2","2710","2688","22","0","0","0","0","0"
"189","SANTANDER","BUCARAMANGA","2021-08-25T00:00:00.000","agosto","2021","miércoles","1464","1113","2577","41","1004","1007","6","882","66","35","122","941","8","525","510","15","0","0","0","0","0"
"190","SANTANDER","BUCARAMANGA","2021-08-26T00:00:00.000","agosto","2021","jueves","926","2046","2972","64","809","1866","4","654","72","60","155","1794","1","233","196","37","0","0","0","0","0"
"191","SANTANDER","BUCARAMANGA","2021-08-27T00:00:00.000","agosto","2021","viernes","1139","2117","3256","51","1639","1287","2","790","108","49","849","1179","6","279","239","40","0","0","0","0","0"
"192","SANTANDER","BUCARAMANGA","2021-08-28T00:00:00.000","agosto","2021","sábado","1814","1334","3148","97","2191","780","70","1616","79","27","575","701","0","80","49","31","0","0","2","0","0"
"193","SANTANDER","BUCARAMANGA","2021-08-29T00:00:00.000","agosto","2021","domingo","1588","378","1966","17","1634","205","9","1472","6","8","162","199","14","110","101","9","0","0","0","0","0"
"194","SANTANDER","BUCARAMANGA","2021-08-30T00:00:00.000","agosto","2021","lunes","1737","1012","2749","104","1737","883","80","1600","50","24","137","833","0","25","7","18","0","2","0","0","0"
"195","SANTANDER","BUCARAMANGA","2021-08-31T00:00:00.000","agosto","2021","martes","1550","903","2453","64","1557","818","40","1442","63","24","115","755","2","14","5","9","0","0","0","0","0"
"196","SANTANDER","BUCARAMANGA","2021-09-01T00:00:00.000","septiembre","2021","miércoles","1324","791","2115","29","1355","715","9","1240","67","20","115","648","0","16","8","8","0","0","0","0","0"
"197","SANTANDER","BUCARAMANGA","2021-09-02T00:00:00.000","septiembre","2021","jueves","572","564","1136","46","591","483","11","500","56","35","91","427","0","16","5","11","0","0","0","0","0"
"198","SANTANDER","BUCARAMANGA","2021-09-03T00:00:00.000","septiembre","2021","viernes","292","420","712","28","222","452","10","175","105","18","47","347","2","10","2","8","0","0","1","0","0"
"199","SANTANDER","BUCARAMANGA","2021-09-04T00:00:00.000","septiembre","2021","sábado","80","218","298","5","71","212","1","19","59","4","52","153","0","10","1","9","0","1","0","0","1"
"200","SANTANDER","BUCARAMANGA","2021-09-05T00:00:00.000","septiembre","2021","domingo","599","127","726","2","643","77","1","595","3","1","48","74","0","4","0","4","0","0","0","0","0"
"201","SANTANDER","BUCARAMANGA","2021-09-06T00:00:00.000","septiembre","2021","lunes","2007","516","2523","24","2025","456","3","1926","75","21","99","381","0","18","3","15","0","0","0","0","0"
"202","SANTANDER","BUCARAMANGA","2021-09-07T00:00:00.000","septiembre","2021","martes","964","455","1419","27","1001","383","8","916","39","19","85","344","1","8","1","7","0","0","0","0","0"
"203","SANTANDER","BUCARAMANGA","2021-09-08T00:00:00.000","septiembre","2021","miércoles","352","384","736","8","433","288","1","295","56","7","138","232","0","7","0","7","0","0","0","0","1"
"204","SANTANDER","BUCARAMANGA","2021-09-09T00:00:00.000","septiembre","2021","jueves","170","574","744","20","210","505","2","48","118","18","162","387","1","9","2","7","0","0","1","0","0"
"205","SANTANDER","BUCARAMANGA","2021-09-10T00:00:00.000","septiembre","2021","viernes","1817","551","2368","442","1491","428","423","1238","152","19","253","276","0","7","4","3","1","0","0","0","0"
"206","SANTANDER","BUCARAMANGA","2021-09-11T00:00:00.000","septiembre","2021","sábado","1629","1439","3068","1406","1394","260","1354","229","43","52","1165","217","0","8","3","5","0","0","0","0","0"
"207","SANTANDER","BUCARAMANGA","2021-09-12T00:00:00.000","septiembre","2021","domingo","788","385","1173","714","404","48","698","81","5","16","323","43","2","7","4","3","0","1","0","0","0"
"208","SANTANDER","BUCARAMANGA","2021-09-13T00:00:00.000","septiembre","2021","lunes","1053","498","1551","1007","363","172","960","38","51","47","325","121","0","9","4","5","0","0","0","0","0"
"209","SANTANDER","BUCARAMANGA","2021-09-14T00:00:00.000","septiembre","2021","martes","827","473","1300","708","381","206","693","84","47","15","297","159","0","5","3","2","0","0","0","0","0"
"210","SANTANDER","BUCARAMANGA","2021-09-15T00:00:00.000","septiembre","2021","miércoles","1667","410","2077","798","752","521","767","523","373","31","229","148","1","6","4","2","0","0","0","0","0"
"211","SANTANDER","BUCARAMANGA","2021-09-16T00:00:00.000","septiembre","2021","jueves","2128","390","2518","1098","880","530","1036","699","389","62","181","141","1","10","4","6","0","0","1","0","0"
"212","SANTANDER","BUCARAMANGA","2021-09-17T00:00:00.000","septiembre","2021","viernes","1907","394","2301","663","1031","597","652","897","355","11","134","242","1","10","3","7","0","0","0","0","0"
"213","SANTANDER","BUCARAMANGA","2021-09-18T00:00:00.000","septiembre","2021","sábado","1257","314","1571","470","764","329","460","594","200","10","170","129","0","8","3","5","0","0","0","0","1"
"214","SANTANDER","BUCARAMANGA","2021-09-19T00:00:00.000","septiembre","2021","domingo","214","62","276","101","92","80","98","67","48","3","25","32","0","3","1","2","0","0","0","0","0"
"215","SANTANDER","BUCARAMANGA","2021-09-20T00:00:00.000","septiembre","2021","lunes","1062","385","1447","159","815","467","153","622","286","6","193","181","1","6","1","5","0","0","0","0","0"
"216","SANTANDER","BUCARAMANGA","2021-09-21T00:00:00.000","septiembre","2021","martes","1149","338","1487","174","1074","230","167","890","88","7","184","142","0","9","4","5","0","0","0","0","0"
"217","SANTANDER","BUCARAMANGA","2021-09-22T00:00:00.000","septiembre","2021","miércoles","2668","353","3021","1196","1046","769","1177","834","654","19","212","115","1","10","3","7","0","0","0","1","0"
"218","SANTANDER","BUCARAMANGA","2021-09-23T00:00:00.000","septiembre","2021","jueves","2170","287","2457","992","871","584","978","728","464","14","143","120","0","10","0","10","0","0","0","0","0"
"219","SANTANDER","BUCARAMANGA","2021-09-24T00:00:00.000","septiembre","2021","viernes","1891","195","2086","799","747","534","787","683","419","12","64","115","1","6","2","4","0","0","0","0","0"
"220","SANTANDER","BUCARAMANGA","2021-09-25T00:00:00.000","septiembre","2021","sábado","1500","329","1829","696","427","526","688","375","431","8","52","95","1","180","6","174","1","2","2","1","4"
"221","SANTANDER","BUCARAMANGA","2021-09-26T00:00:00.000","septiembre","2021","domingo","894","607","1501","496","257","212","482","226","184","14","31","28","1","536","2","534","0","2","2","0","5"
"222","SANTANDER","BUCARAMANGA","2021-09-27T00:00:00.000","septiembre","2021","lunes","1690","1505","3195","850","582","512","816","436","430","34","146","82","1","1251","8","1243","1","0","2","0","9"
"223","SANTANDER","BUCARAMANGA","2021-09-28T00:00:00.000","septiembre","2021","martes","1732","1380","3112","853","555","578","807","417","502","46","138","76","1","1126","6","1120","1","2","3","1","2"
"224","SANTANDER","BUCARAMANGA","2021-09-29T00:00:00.000","septiembre","2021","miércoles","1746","820","2566","747","594","683","714","470","552","33","124","131","2","542","10","532","0","0","3","0","5"
"225","SANTANDER","BUCARAMANGA","2021-09-30T00:00:00.000","septiembre","2021","jueves","1258","431","1689","718","252","505","696","179","376","22","73","129","2","214","7","207","1","0","3","0","2"
"226","SANTANDER","BUCARAMANGA","2021-10-01T00:00:00.000","octubre","2021","viernes","1131","325","1456","482","295","589","471","208","445","11","87","144","1","90","7","83","1","16","3","0","2"
"227","SANTANDER","BUCARAMANGA","2021-10-02T00:00:00.000","octubre","2021","sábado","1283","173","1456","562","354","482","546","327","402","16","27","80","96","58","8","50","1","6","3","0","0"
"228","SANTANDER","BUCARAMANGA","2021-10-03T00:00:00.000","octubre","2021","domingo","548","33","581","216","131","229","208","126","211","8","5","18","145","5","3","2","0","4","3","0","2"
"229","SANTANDER","BUCARAMANGA","2021-10-04T00:00:00.000","octubre","2021","lunes","1025","195","1220","370","292","516","349","247","414","21","45","102","700","42","15","27","2","8","16","2","2"
"230","SANTANDER","BUCARAMANGA","2021-10-05T00:00:00.000","octubre","2021","martes","1275","165","1440","747","282","400","727","241","302","20","41","98","598","11","5","6","2","6","6","0","5"
"231","SANTANDER","BUCARAMANGA","2021-10-06T00:00:00.000","octubre","2021","miércoles","1012","1912","2924","320","380","594","280","255","457","40","125","137","768","1630","20","1610","0","6","26","4","8"
"232","SANTANDER","BUCARAMANGA","2021-10-07T00:00:00.000","octubre","2021","jueves","855","5056","5911","373","475","408","324","255","241","49","220","167","1345","4655","35","4620","1","26","165","3","20"
"233","SANTANDER","BUCARAMANGA","2021-10-08T00:00:00.000","octubre","2021","viernes","705","4934","5639","273","407","430","234","209","222","39","198","208","1208","4529","40","4489","3","32","182","4","12"
"234","SANTANDER","BUCARAMANGA","2021-10-09T00:00:00.000","octubre","2021","sábado","581","3674","4255","236","327","237","212","212","132","24","115","105","1178","3455","25","3430","2","43","122","1","15"
"235","SANTANDER","BUCARAMANGA","2021-10-10T00:00:00.000","octubre","2021","domingo","173","1446","1619","85","55","95","69","30","65","16","25","30","546","1384","9","1375","2","8","30","0","5"
"236","SANTANDER","BUCARAMANGA","2021-10-11T00:00:00.000","octubre","2021","lunes","363","2655","3018","143","173","280","127","92","123","16","81","157","1137","2422","21","2401","7","62","222","1","16"
"237","SANTANDER","BUCARAMANGA","2021-10-12T00:00:00.000","octubre","2021","martes","476","2490","2966","183","190","276","165","129","146","18","61","130","1198","2317","36","2281","7","31","165","2","21"
"238","SANTANDER","BUCARAMANGA","2021-10-13T00:00:00.000","octubre","2021","miércoles","586","1977","2563","218","110","529","189","61","303","29","49","226","653","1706","33","1673","9","35","150","2","18"
"239","SANTANDER","BUCARAMANGA","2021-10-14T00:00:00.000","octubre","2021","jueves","566","1370","1936","188","365","467","156","134","249","32","231","218","361","916","27","889","7","37","95","4","23"
"240","SANTANDER","BUCARAMANGA","2021-10-15T00:00:00.000","octubre","2021","viernes","883","1925","2808","517","554","440","460","219","146","57","335","294","519","1297","58","1239","3","35","132","4","23"
"241","SANTANDER","BUCARAMANGA","2021-10-16T00:00:00.000","octubre","2021","sábado","830","1537","2367","562","494","278","483","229","101","79","265","177","70","1033","17","1016","2","31","113","0","13"
"242","SANTANDER","BUCARAMANGA","2021-10-17T00:00:00.000","octubre","2021","domingo","340","653","993","233","249","67","219","92","22","14","157","45","30","444","7","437","3","41","55","1","5"
"243","SANTANDER","BUCARAMANGA","2021-10-18T00:00:00.000","octubre","2021","lunes","212","290","502","155","115","30","149","51","8","6","64","22","14","202","4","198","0","11","39","1","5"
"244","SANTANDER","BUCARAMANGA","2021-10-19T00:00:00.000","octubre","2021","martes","934","1654","2588","731","551","272","596","230","82","135","321","190","141","1034","26","1008","8","86","268","4","13"
"245","SANTANDER","BUCARAMANGA","2021-10-20T00:00:00.000","octubre","2021","miércoles","1213","1929","3142","1057","615","433","845","246","88","212","369","345","76","1037","34","1003","16","91","304","2","19"
"246","SANTANDER","BUCARAMANGA","2021-10-21T00:00:00.000","octubre","2021","jueves","1020","2146","3166","875","621","514","650","254","89","225","367","425","52","1156","27","1129","8","84","339","1","25"
"247","SANTANDER","BUCARAMANGA","2021-10-22T00:00:00.000","octubre","2021","viernes","1292","1857","3149","1028","533","513","884","243","93","144","290","420","57","1075","72","1003","20","56","309","7","66"
"248","SANTANDER","BUCARAMANGA","2021-10-23T00:00:00.000","octubre","2021","sábado","951","1923","2874","823","465","332","647","157","62","176","308","270","69","1254","85","1169","13","23","218","4","52"
"249","SANTANDER","BUCARAMANGA","2021-10-24T00:00:00.000","octubre","2021","domingo","360","632","992","291","130","71","268","64","5","23","66","66","14","500","23","477","1","0","50","0","22"
"250","SANTANDER","BUCARAMANGA","2021-10-25T00:00:00.000","octubre","2021","lunes","927","1868","2795","843","424","321","712","65","51","131","359","270","34","1207","99","1108","13","59","251","3","81"
"251","SANTANDER","BUCARAMANGA","2021-10-26T00:00:00.000","octubre","2021","martes","1270","1926","3196","1192","367","398","985","80","46","207","287","352","95","1239","159","1080","20","60","332","4","129"
"252","SANTANDER","BUCARAMANGA","2021-10-27T00:00:00.000","octubre","2021","miércoles","1067","1437","2504","934","215","404","746","65","55","188","150","349","64","951","201","750","27","33","346","15","123"
"253","SANTANDER","BUCARAMANGA","2021-10-28T00:00:00.000","octubre","2021","jueves","1560","1431","2991","1267","194","466","1062","53","102","205","141","364","202","1064","343","721","52","27","268","20","198"
"254","SANTANDER","BUCARAMANGA","2021-10-29T00:00:00.000","octubre","2021","viernes","1294","1260","2554","1097","347","316","917","92","80","180","255","236","71","794","205","589","39","41","260","11","164"
"255","SANTANDER","BUCARAMANGA","2021-10-30T00:00:00.000","octubre","2021","sábado","936","1074","2010","778","292","261","643","63","40","135","229","221","59","679","190","489","33","33","161","5","89"
"256","SANTANDER","BUCARAMANGA","2021-10-31T00:00:00.000","octubre","2021","domingo","620","590","1210","294","145","368","243","35","236","51","110","132","44","403","106","297","7","13","78","1","19"
"257","SANTANDER","BUCARAMANGA","2021-11-01T00:00:00.000","noviembre","2021","lunes","655","370","1025","200","54","479","155","15","380","45","39","99","43","292","105","187","3","7","80","2","30"
"258","SANTANDER","BUCARAMANGA","2021-11-02T00:00:00.000","noviembre","2021","martes","2093","1712","3805","941","382","1150","695","59","730","246","323","420","50","1332","609","723","50","35","327","7","206"
"259","SANTANDER","BUCARAMANGA","2021-11-03T00:00:00.000","noviembre","2021","miércoles","2723","2049","4772","747","563","1449","451","80","980","296","483","469","67","2013","1212","801","38","49","448","9","326"
"260","SANTANDER","BUCARAMANGA","2021-11-04T00:00:00.000","noviembre","2021","jueves","3847","2259","6106","770","573","1558","466","89","1082","304","484","476","87","3205","2210","995","48","30","452","15","423"
"261","SANTANDER","BUCARAMANGA","2021-11-05T00:00:00.000","noviembre","2021","viernes","3810","1548","5358","543","250","1811","303","43","1491","240","207","320","63","2754","1973","781","41","34","370","18","396"
"262","SANTANDER","BUCARAMANGA","2021-11-06T00:00:00.000","noviembre","2021","sábado","3518","1431","4949","563","101","1760","326","29","1462","237","72","298","40","2525","1701","824","36","11","403","10","274"
"263","SANTANDER","BUCARAMANGA","2021-11-07T00:00:00.000","noviembre","2021","domingo","1451","610","2061","180","28","685","88","18","548","92","10","137","20","1168","797","371","14","3","117","3","167"
"264","SANTANDER","BUCARAMANGA","2021-11-08T00:00:00.000","noviembre","2021","lunes","3485","1307","4792","596","78","1498","360","40","1164","236","38","334","59","2620","1921","699","53","30","507","14","377"
"265","SANTANDER","BUCARAMANGA","2021-11-09T00:00:00.000","noviembre","2021","martes","4310","1580","5890","1185","165","1990","862","73","1649","323","92","341","88","2550","1726","824","66","31","516","10","420"
"266","SANTANDER","BUCARAMANGA","2021-11-10T00:00:00.000","noviembre","2021","miércoles","3544","1961","5505","1189","607","1611","771","69","1232","418","538","379","79","2098","1472","626","52","36","479","12","370"
"267","SANTANDER","BUCARAMANGA","2021-11-11T00:00:00.000","noviembre","2021","jueves","2903","1840","4743","1166","584","1380","687","56","1045","479","528","335","59","1613","1115","498","34","46","363","7","295"
"268","SANTANDER","BUCARAMANGA","2021-11-12T00:00:00.000","noviembre","2021","viernes","2867","1625","4492","767","601","1445","395","69","1195","372","532","250","34","1679","1208","471","50","52","357","8","354"
"269","SANTANDER","BUCARAMANGA","2021-11-13T00:00:00.000","noviembre","2021","sábado","2773","1810","4583","776","605","1345","366","72","1077","410","533","268","40","1857","1258","599","42","60","310","10","300"
"270","SANTANDER","BUCARAMANGA","2021-11-14T00:00:00.000","noviembre","2021","domingo","1097","841","1938","403","226","421","262","23","315","141","203","106","72","888","497","391","25","18","74","7","131"
"271","SANTANDER","BUCARAMANGA","2021-11-15T00:00:00.000","noviembre","2021","lunes","1148","775","1923","317","277","418","179","22","315","138","255","103","17","911","632","279","17","22","94","5","128"
"272","SANTANDER","BUCARAMANGA","2021-11-16T00:00:00.000","noviembre","2021","martes","3283","1841","5124","1066","681","1211","738","71","930","328","610","281","108","2166","1544","622","59","86","330","13","397"
"273","SANTANDER","BUCARAMANGA","2021-11-17T00:00:00.000","noviembre","2021","miércoles","4309","2197","6506","1367","837","1500","952","114","1170","415","723","330","70","2802","2073","729","100","88","336","23","515"
"274","SANTANDER","BUCARAMANGA","2021-11-18T00:00:00.000","noviembre","2021","jueves","3710","1841","5551","708","666","1284","358","71","966","350","595","318","85","2893","2315","578","66","55","376","13","717"
"275","SANTANDER","BUCARAMANGA","2021-11-19T00:00:00.000","noviembre","2021","viernes","3398","2063","5461","713","749","1157","206","60","908","507","689","249","41","2842","2224","618","84","35","266","7","774"
"276","SANTANDER","BUCARAMANGA","2021-11-20T00:00:00.000","noviembre","2021","sábado","2859","1995","4854","709","783","994","198","55","786","511","728","208","32","2368","1820","548","103","41","201","12","1031"
"277","SANTANDER","BUCARAMANGA","2021-11-21T00:00:00.000","noviembre","2021","domingo","1381","1023","2404","286","383","423","69","20","308","217","363","115","15","1312","984","328","63","6","77","6","542"
"278","SANTANDER","BUCARAMANGA","2021-11-22T00:00:00.000","noviembre","2021","lunes","3543","2095","5638","907","652","952","318","93","656","589","559","296","61","3127","2476","651","203","43","317","23","1476"
"279","SANTANDER","BUCARAMANGA","2021-11-23T00:00:00.000","noviembre","2021","martes","3240","2197","5437","1175","652","1068","510","81","732","665","571","336","58","2542","1917","625","202","42","330","14","1474"
"280","SANTANDER","BUCARAMANGA","2021-11-24T00:00:00.000","noviembre","2021","miércoles","2894","1947","4841","1135","549","1015","562","65","692","573","484","323","77","2142","1575","567","310","29","288","16","1287"
"281","SANTANDER","BUCARAMANGA","2021-11-25T00:00:00.000","noviembre","2021","jueves","2664","1779","4443","1197","479","922","571","103","665","626","376","257","50","1845","1325","520","300","32","255","20","1309"
"282","SANTANDER","BUCARAMANGA","2021-11-26T00:00:00.000","noviembre","2021","viernes","1530","1132","2662","664","204","561","204","40","404","460","164","157","33","1233","882","351","287","30","182","12","1206"
"283","SANTANDER","BUCARAMANGA","2021-11-27T00:00:00.000","noviembre","2021","sábado","1982","1332","3314","1011","226","733","519","50","527","492","176","206","47","1344","886","458","330","27","154","11","1103"
"284","SANTANDER","BUCARAMANGA","2021-11-28T00:00:00.000","noviembre","2021","domingo","944","806","1750","685","120","340","379","18","192","306","102","148","47","605","355","250","158","7","64","5","498"
"285","SANTANDER","BUCARAMANGA","2021-11-29T00:00:00.000","noviembre","2021","lunes","2311","1626","3937","1225","248","931","685","56","558","540","192","373","548","1533","1012","521","502","25","238","26","1276"
"286","SANTANDER","BUCARAMANGA","2021-11-30T00:00:00.000","noviembre","2021","martes","1782","1761","3543","1004","285","925","414","89","487","590","196","438","872","1329","792","537","505","23","126","32","1200"
"287","SANTANDER","BUCARAMANGA","2021-12-01T00:00:00.000","diciembre","2021","miércoles","1818","1840","3658","1111","293","1227","544","145","611","567","148","616","889","1027","518","509","674","16","119","34","609"
"288","SANTANDER","BUCARAMANGA","2021-12-02T00:00:00.000","diciembre","2021","jueves","1575","1798","3373","846","154","1329","370","75","621","476","79","708","651","1044","509","535","493","23","171","42","317"
"289","SANTANDER","BUCARAMANGA","2021-12-03T00:00:00.000","diciembre","2021","viernes","1069","1396","2465","615","117","1205","291","54","516","324","63","689","384","528","208","320","461","11","77","11","216"
"290","SANTANDER","BUCARAMANGA","2021-12-04T00:00:00.000","diciembre","2021","sábado","973","1729","2702","546","547","1106","182","126","434","364","421","672","439","503","231","272","340","20","68","85","105"
"291","SANTANDER","BUCARAMANGA","2021-12-05T00:00:00.000","diciembre","2021","domingo","524","1019","1543","252","331","458","110","118","191","142","213","267","203","502","105","397","81","8","24","5","207"
"292","SANTANDER","BUCARAMANGA","2021-12-06T00:00:00.000","diciembre","2021","lunes","1130","2408","3538","400","722","1262","162","235","528","238","487","734","483","1154","205","949","137","24","131","25","739"
"293","SANTANDER","BUCARAMANGA","2021-12-07T00:00:00.000","diciembre","2021","martes","693","1614","2307","241","620","773","80","202","266","161","418","507","781","673","145","528","67","13","92","32","549"
"294","SANTANDER","BUCARAMANGA","2021-12-08T00:00:00.000","diciembre","2021","miércoles","66","202","268","126","74","46","16","26","8","110","48","38","119","22","16","6","87","0","6","5","4"
"295","SANTANDER","BUCARAMANGA","2021-12-09T00:00:00.000","diciembre","2021","jueves","622","2126","2748","704","637","879","142","169","303","562","468","576","623","528","8","520","406","6","77","22","366"
"296","SANTANDER","BUCARAMANGA","2021-12-10T00:00:00.000","diciembre","2021","viernes","674","1974","2648","789","669","865","223","174","266","566","495","599","585","325","11","314","506","6","49","43","221"
"297","SANTANDER","BUCARAMANGA","2021-12-11T00:00:00.000","diciembre","2021","sábado","417","1520","1937","523","447","830","73","66","265","450","381","565","553","137","13","124","403","8","26","24","108"
"298","SANTANDER","BUCARAMANGA","2021-12-12T00:00:00.000","diciembre","2021","domingo","271","606","877","319","182","356","97","38","128","222","144","228","134","20","8","12","162","68","3","1","1"
"299","SANTANDER","BUCARAMANGA","2021-12-13T00:00:00.000","diciembre","2021","lunes","291","1191","1482","432","477","548","59","78","150","373","399","398","534","25","4","21","409","18","10","48","12"
"300","SANTANDER","BUCARAMANGA","2021-12-14T00:00:00.000","diciembre","2021","martes","468","1352","1820","492","691","613","104","160","198","388","531","415","554","24","6","18","317","8","28","29","3"
"301","SANTANDER","BUCARAMANGA","2021-12-15T00:00:00.000","diciembre","2021","miércoles","220","1018","1238","160","545","511","19","43","156","141","502","355","423","22","2","20","128","621","14","24","1"
"302","SANTANDER","BUCARAMANGA","2021-12-16T00:00:00.000","diciembre","2021","jueves","203","1829","2032","47","464","790","17","16","168","30","448","622","447","731","2","729","27","1583","9","27","74"
"303","SANTANDER","BUCARAMANGA","2021-12-17T00:00:00.000","diciembre","2021","viernes","167","2330","2497","43","380","680","13","13","137","30","367","543","516","1394","4","1390","9","704","8","31","772"
"304","SANTANDER","BUCARAMANGA","2021-12-18T00:00:00.000","diciembre","2021","sábado","247","1898","2145","419","221","482","100","10","63","319","211","419","274","1023","74","949","87","47","1","27","590"
"305","SANTANDER","BUCARAMANGA","2021-12-19T00:00:00.000","diciembre","2021","domingo","278","1003","1281","470","111","158","145","6","33","325","105","125","51","542","94","448","195","7","0","0","3"
"306","SANTANDER","BUCARAMANGA","2021-12-20T00:00:00.000","diciembre","2021","lunes","646","2341","2987","954","322","383","339","16","58","615","306","325","125","1328","233","1095","533","38","1","10","64"
"307","SANTANDER","BUCARAMANGA","2021-12-21T00:00:00.000","diciembre","2021","martes","438","1943","2381","809","395","271","249","136","28","560","259","243","69","906","25","881","522","101","0","9","81"
"308","SANTANDER","BUCARAMANGA","2021-12-22T00:00:00.000","diciembre","2021","miércoles","422","1360","1782","634","405","132","247","148","20","387","257","112","52","611","7","604","522","16","1","17","74"
"309","SANTANDER","BUCARAMANGA","2021-12-23T00:00:00.000","diciembre","2021","jueves","146","658","804","228","160","187","74","46","15","154","114","172","19","229","11","218","234","4","1","15","60"
"310","SANTANDER","BUCARAMANGA","2021-12-24T00:00:00.000","diciembre","2021","viernes","38","164","202","43","36","74","19","6","9","24","30","65","32","49","4","45","36","4","0","2","74"
"311","SANTANDER","BUCARAMANGA","2021-12-25T00:00:00.000","diciembre","2021","sábado","2","11","13","7","0","1","1","0","0","6","0","1","0","5","1","4","1","1","0","0","8"
"312","SANTANDER","BUCARAMANGA","2021-12-26T00:00:00.000","diciembre","2021","domingo","147","462","609","224","78","159","86","20","41","138","58","118","4","148","0","148","82","22","2","0","109"
"313","SANTANDER","BUCARAMANGA","2021-12-27T00:00:00.000","diciembre","2021","lunes","548","1900","2448","625","446","706","247","128","168","378","318","538","50","671","5","666","332","757","7","13","592"
"314","SANTANDER","BUCARAMANGA","2021-12-28T00:00:00.000","diciembre","2021","martes","478","1581","2059","629","365","466","204","113","160","425","252","306","55","599","1","598","175","1690","5","43","407"
"315","SANTANDER","BUCARAMANGA","2021-12-29T00:00:00.000","diciembre","2021","miércoles","282","990","1272","425","217","211","171","64","46","254","153","165","54","419","1","418","142","764","1","40","562"
"316","SANTANDER","BUCARAMANGA","2021-12-30T00:00:00.000","diciembre","2021","jueves","189","530","719","249","89","116","108","25","30","141","64","86","39","265","26","239","141","262","5","15","373"
"317","SANTANDER","BUCARAMANGA","2021-12-31T00:00:00.000","diciembre","2021","viernes","30","81","111","49","3","19","17","0","3","32","3","16","14","40","10","30","34","0","1","2","96"
"318","SANTANDER","BUCARAMANGA","2022-01-01T00:00:00.000","enero","2022","sábado","5","8","13","2","0","7","1","0","2","1","0","5","2","4","2","2","1","0","0","1","0"
"319","SANTANDER","BUCARAMANGA","2022-01-02T00:00:00.000","enero","2022","domingo","67","145","212","70","4","48","26","0","10","44","4","38","37","90","31","59","46","26","20","5","134"
"320","SANTANDER","BUCARAMANGA","2022-01-03T00:00:00.000","enero","2022","lunes","511","1278","1789","698","65","231","259","27","54","439","38","177","57","795","171","624","390","81","100","36","1016"
"321","SANTANDER","BUCARAMANGA","2022-01-04T00:00:00.000","enero","2022","martes","565","1180","1745","481","36","208","100","14","55","381","22","153","71","1020","396","624","338","20","65","43","999"
"322","SANTANDER","BUCARAMANGA","2022-01-05T00:00:00.000","enero","2022","miércoles","1032","1856","2888","562","77","1023","142","30","403","420","47","620","90","1226","457","769","300","24","115","72","1031"
"323","SANTANDER","BUCARAMANGA","2022-01-06T00:00:00.000","enero","2022","jueves","1158","2042","3200","535","92","1215","98","38","491","437","54","724","91","1358","531","827","281","19","101","38","1255"
"324","SANTANDER","BUCARAMANGA","2022-01-07T00:00:00.000","enero","2022","viernes","826","1361","2187","483","63","808","102","26","368","381","37","440","58","833","330","503","336","8","54","27","843"
"325","SANTANDER","BUCARAMANGA","2022-01-08T00:00:00.000","enero","2022","sábado","683","1142","1825","368","50","720","104","20","319","264","30","401","36","687","240","447","250","7","51","28","602"
"326","SANTANDER","BUCARAMANGA","2022-01-09T00:00:00.000","enero","2022","domingo","305","548","853","253","23","227","87","9","88","166","14","139","26","350","121","229","98","9","28","5","206"
"327","SANTANDER","BUCARAMANGA","2022-01-10T00:00:00.000","enero","2022","lunes","308","474","782","203","10","323","64","6","154","139","4","169","13","246","84","162","112","6","12","4","175"
"328","SANTANDER","BUCARAMANGA","2022-01-11T00:00:00.000","enero","2022","martes","807","1285","2092","371","81","900","94","46","392","277","35","508","111","740","275","465","198","13","64","60","452"
"329","SANTANDER","BUCARAMANGA","2022-01-12T00:00:00.000","enero","2022","miércoles","732","1101","1833","348","73","696","98","33","334","250","40","362","44","716","267","449","339","21","79","45","816"
"330","SANTANDER","BUCARAMANGA","2022-01-13T00:00:00.000","enero","2022","jueves","466","571","1037","442","1","575","189","1","275","253","0","300","21","19","1","18","690","0","5","51","134"
"331","SANTANDER","BUCARAMANGA","2022-01-14T00:00:00.000","enero","2022","viernes","425","478","903","303","45","552","112","12","301","191","33","251","63","3","0","3","527","1","38","77","8"
"332","SANTANDER","BUCARAMANGA","2022-01-15T00:00:00.000","enero","2022","sábado","390","699","1089","179","412","492","16","92","282","163","320","210","253","6","0","6","486","6","5","588","3"
"333","SANTANDER","BUCARAMANGA","2022-01-16T00:00:00.000","enero","2022","domingo","86","171","257","22","150","84","0","43","43","22","107","41","175","1","0","1","28","2","0","260","1"
"334","SANTANDER","BUCARAMANGA","2022-01-17T00:00:00.000","enero","2022","lunes","334","474","808","132","352","324","20","117","197","112","235","127","306","0","0","0","412","5","1","491","3"
"335","SANTANDER","BUCARAMANGA","2022-01-18T00:00:00.000","enero","2022","martes","211","461","672","106","247","254","12","73","126","94","174","128","201","65","0","65","302","9","74","386","7"
